zip,state,Region,zip_first_two_digits,zip_first_three_digits
02062,MA,Northeast,02,020
02065,MA,Northeast,02,020
02066,MA,Northeast,02,020
02067,MA,Northeast,02,020
02070,MA,Northeast,02,020
02071,MA,Northeast,02,020
02072,MA,Northeast,02,020
02081,MA,Northeast,02,020
02090,MA,Northeast,02,020
02093,MA,Northeast,02,020
02108,MA,Northeast,02,021
02109,MA,Northeast,02,021
02110,MA,Northeast,02,021
02111,MA,Northeast,02,021
02112,MA,Northeast,02,021
02113,MA,Northeast,02,021
02114,MA,Northeast,02,021
02115,MA,Northeast,02,021
02116,MA,Northeast,02,021
02117,MA,Northeast,02,021
02118,MA,Northeast,02,021
02119,MA,Northeast,02,021
02120,MA,Northeast,02,021
02121,MA,Northeast,02,021
02122,MA,Northeast,02,021
02123,MA,Northeast,02,021
02124,MA,Northeast,02,021
02125,MA,Northeast,02,021
02126,MA,Northeast,02,021
02127,MA,Northeast,02,021
02128,MA,Northeast,02,021
02129,MA,Northeast,02,021
02130,MA,Northeast,02,021
02131,MA,Northeast,02,021
02132,MA,Northeast,02,021
02133,MA,Northeast,02,021
02134,MA,Northeast,02,021
02135,MA,Northeast,02,021
02136,MA,Northeast,02,021
02137,MA,Northeast,02,021
02138,MA,Northeast,02,021
02139,MA,Northeast,02,021
02140,MA,Northeast,02,021
02141,MA,Northeast,02,021
02142,MA,Northeast,02,021
02143,MA,Northeast,02,021
02144,MA,Northeast,02,021
02145,MA,Northeast,02,021
02148,MA,Northeast,02,021
02149,MA,Northeast,02,021
02150,MA,Northeast,02,021
02151,MA,Northeast,02,021
02152,MA,Northeast,02,021
02153,MA,Northeast,02,021
02155,MA,Northeast,02,021
02156,MA,Northeast,02,021
02163,MA,Northeast,02,021
02169,MA,Northeast,02,021
02170,MA,Northeast,02,021
02171,MA,Northeast,02,021
02176,MA,Northeast,02,021
02180,MA,Northeast,02,021
02184,MA,Northeast,02,021
02185,MA,Northeast,02,021
02186,MA,Northeast,02,021
02187,MA,Northeast,02,021
02188,MA,Northeast,02,021
02189,MA,Northeast,02,021
02190,MA,Northeast,02,021
02191,MA,Northeast,02,021
02196,MA,Northeast,02,021
02199,MA,Northeast,02,021
02201,MA,Northeast,02,022
02203,MA,Northeast,02,022
02204,MA,Northeast,02,022
02205,MA,Northeast,02,022
02206,MA,Northeast,02,022
02207,MA,Northeast,02,022
02210,MA,Northeast,02,022
02211,MA,Northeast,02,022
02212,MA,Northeast,02,022
02215,MA,Northeast,02,022
02216,MA,Northeast,02,022
02217,MA,Northeast,02,022
02222,MA,Northeast,02,022
02228,MA,Northeast,02,022
02238,MA,Northeast,02,022
02239,MA,Northeast,02,022
02241,MA,Northeast,02,022
02266,MA,Northeast,02,022
02269,MA,Northeast,02,022
02283,MA,Northeast,02,022
02284,MA,Northeast,02,022
02293,MA,Northeast,02,022
02295,MA,Northeast,02,022
02297,MA,Northeast,02,022
02298,MA,Northeast,02,022
02301,MA,Northeast,02,023
02302,MA,Northeast,02,023
02303,MA,Northeast,02,023
02304,MA,Northeast,02,023
02305,MA,Northeast,02,023
02322,MA,Northeast,02,023
02324,MA,Northeast,02,023
02325,MA,Northeast,02,023
02327,MA,Northeast,02,023
02330,MA,Northeast,02,023
02331,MA,Northeast,02,023
02332,MA,Northeast,02,023
02333,MA,Northeast,02,023
02334,MA,Northeast,02,023
02337,MA,Northeast,02,023
02338,MA,Northeast,02,023
02339,MA,Northeast,02,023
02340,MA,Northeast,02,023
02341,MA,Northeast,02,023
02343,MA,Northeast,02,023
02344,MA,Northeast,02,023
02345,MA,Northeast,02,023
02346,MA,Northeast,02,023
02347,MA,Northeast,02,023
02348,MA,Northeast,02,023
02349,MA,Northeast,02,023
02350,MA,Northeast,02,023
02351,MA,Northeast,02,023
02355,MA,Northeast,02,023
02356,MA,Northeast,02,023
02357,MA,Northeast,02,023
02358,MA,Northeast,02,023
02359,MA,Northeast,02,023
02360,MA,Northeast,02,023
02361,MA,Northeast,02,023
02362,MA,Northeast,02,023
02364,MA,Northeast,02,023
02366,MA,Northeast,02,023
02367,MA,Northeast,02,023
02368,MA,Northeast,02,023
02370,MA,Northeast,02,023
02375,MA,Northeast,02,023
02379,MA,Northeast,02,023
02381,MA,Northeast,02,023
02382,MA,Northeast,02,023
02420,MA,Northeast,02,024
02421,MA,Northeast,02,024
02445,MA,Northeast,02,024
02446,MA,Northeast,02,024
02447,MA,Northeast,02,024
02451,MA,Northeast,02,024
02452,MA,Northeast,02,024
02453,MA,Northeast,02,024
02454,MA,Northeast,02,024
02455,MA,Northeast,02,024
02456,MA,Northeast,02,024
02457,MA,Northeast,02,024
02458,MA,Northeast,02,024
02459,MA,Northeast,02,024
02460,MA,Northeast,02,024
02461,MA,Northeast,02,024
02462,MA,Northeast,02,024
02464,MA,Northeast,02,024
02465,MA,Northeast,02,024
02466,MA,Northeast,02,024
02467,MA,Northeast,02,024
02468,MA,Northeast,02,024
02471,MA,Northeast,02,024
02472,MA,Northeast,02,024
02474,MA,Northeast,02,024
02475,MA,Northeast,02,024
02476,MA,Northeast,02,024
02477,MA,Northeast,02,024
02478,MA,Northeast,02,024
02479,MA,Northeast,02,024
02481,MA,Northeast,02,024
02482,MA,Northeast,02,024
02492,MA,Northeast,02,024
02493,MA,Northeast,02,024
02494,MA,Northeast,02,024
02495,MA,Northeast,02,024
02532,MA,Northeast,02,025
02534,MA,Northeast,02,025
02535,MA,Northeast,02,025
02536,MA,Northeast,02,025
02537,MA,Northeast,02,025
02538,MA,Northeast,02,025
