Company,Zip Prefix,WeekNum,Sales,Temp,Precip,GoogTrend,GoogTrendM1,GoogTrendR,GoogTrendRM1,Gprice,Non-Physical Sales,Month
H&M,5,22,114.99,65.6746,0.044167,51,54,27,29,3.619,63331249.72,6
H&M,5,32,84.54,64.869,0.13643,61,58,32,30,3.4331,53130059.7,8
H&M,5,44,354.48,40.623,0.042183,85,59,44,31,2.9385,54283147.72,11
H&M,6,1,612.47,27.0653,0.18393,46,53,24,27,3.2631,61492760.7,1
H&M,6,2,557.68,38.0066,0.080501,48,46,25,24,3.2574,57539409.47,1
H&M,6,3,999.71,20.6717,0.27238,49,48,25,25,3.2404,54173417.13,1
H&M,6,4,1160.62,23.9423,0.0074551,48,49,25,25,3.2417,62557438.97,1
H&M,6,5,1040.75,25.7928,0.16047,52,48,27,25,3.248,57741423.48,2
H&M,6,6,1103.44,23.0757,0.37794,46,52,24,27,3.2816,58429948.63,2
H&M,6,7,1514.04,29.6291,0.1668,52,46,27,24,3.3503,58527582.51,2
H&M,6,8,979.92,24.2971,0.0019584,49,52,25,27,3.4036,68292043.94,2
H&M,6,9,1700.52,25.5355,0.0011353,51,49,27,25,3.4321,67214297.82,3
H&M,6,10,1312.33,36.8789,0.050454,55,51,29,27,3.4652,55112365.96,3
H&M,6,11,1696.77,35.1523,0.10344,54,55,29,29,3.4883,55204513.98,3
H&M,6,12,2311.16,32.7786,0.19412,59,54,31,29,3.4991,56587827.29,3
H&M,6,13,1684.41,43.0473,0.31603,57,59,30,31,3.5253,66181801.73,4
H&M,6,14,1878.59,49.0255,0.077625,56,57,29,30,3.5501,53044599.44,4
H&M,6,15,2001.98,46.9962,0.17356,59,56,31,29,3.5921,55548326.56,4
H&M,6,16,1508.18,49.4891,0.092157,53,59,27,31,3.6202,52812187.85,4
H&M,6,17,1958.64,50.7275,0.39542,54,53,28,27,3.6246,68064917.82,4
H&M,6,18,1828.5,56.7446,0.081249,58,54,30,28,3.6028,58490928.6,5
H&M,6,19,2411.16,62.4465,0.18202,55,58,28,30,3.5956,54014649.01,5
H&M,6,20,1468.87,59.3056,0.098477,54,55,28,28,3.598,53551134.32,5
H&M,6,21,2432.69,60.8146,0.057928,54,54,29,28,3.6131,61517631.73,5
H&M,6,22,1914.4,65.333,0.076802,51,54,27,29,3.619,63331249.72,6
H&M,6,23,1582.22,66.3841,0.14164,52,51,27,27,3.6139,57372480.77,6
H&M,6,24,1456.59,68.7465,0.037881,51,52,27,27,3.6274,56249930.11,6
H&M,6,25,743.68,69.6746,0.023037,49,51,26,27,3.6376,58537999.83,6
H&M,6,26,1627.48,73.5203,0.23925,54,49,28,26,3.6243,60978421.45,7
H&M,6,27,700.4,74.6433,0.015714,48,54,25,28,3.5889,55234038.75,7
H&M,6,28,625.92,72.1883,0.18754,53,48,27,25,3.5468,49419270.48,7
H&M,6,29,1110.82,72.4475,0.036623,54,53,27,27,3.5034,47079927.57,7
H&M,6,30,1518.55,70.7578,0.058855,58,54,30,27,3.4612,58994478.82,7
H&M,6,31,850.01,70.7654,0.016632,58,58,30,30,3.4483,64061272.56,8
H&M,6,32,1304.4,68.6793,0.25983,61,58,32,30,3.4331,53130059.7,8
H&M,6,33,2272.94,68.6093,0.0095932,60,61,32,32,3.4041,53607957.56,8
H&M,6,34,1924.98,69.6518,0.0062441,56,60,28,32,3.4016,59269432.69,8
H&M,6,35,930.24,75.8496,0.077124,53,56,27,28,3.4086,55122979.26,9
H&M,6,36,1454.9,65.2148,0.041287,53,53,28,27,3.3867,50113793.18,9
H&M,6,37,1864.7,58.0662,0.0080227,61,53,33,28,3.332,50482052.06,9
H&M,6,38,1325.45,62.1457,0.11991,60,61,31,33,3.2989,49056480.9,9
H&M,6,39,1251.43,62.0851,0.22373,60,60,30,31,3.2833,65895762.01,10
H&M,6,40,1503.34,55.3094,0.046206,63,60,32,30,3.2106,50791777.24,10
H&M,6,41,1431.07,61.2904,0.18375,65,63,34,32,3.1195,47355591.03,10
H&M,6,42,1512.41,51.0142,0.12306,63,65,34,34,3.0507,49073930.89,10
H&M,6,43,1566.28,50.8609,0.059319,59,63,31,34,2.9946,54946270.97,10
H&M,6,44,1663.18,46.2365,0.03878,85,59,44,31,2.9385,54283147.72,11
H&M,6,45,1228.1,43.3141,0.040672,72,85,37,44,2.8888,52345358.6,11
H&M,6,46,1614.11,33.8221,0.18088,69,72,36,37,2.8292,59302549.18,11
H&M,6,47,2007.16,40.859,0.29145,100,69,52,36,2.7656,71155437.58,11
H&M,6,48,2125.76,40.1003,0.2132,82,100,44,52,2.7009,115816443,12
H&M,6,49,1103.08,32.4588,0.3295,66,82,35,44,2.5858,95699514.06,12
H&M,6,50,1610.55,35.9489,0.045913,65,66,35,35,2.4426,110545404.8,12
H&M,6,51,2034.14,41.7654,0.12203,66,65,36,35,2.301,67497543.99,12
H&M,7,1,742.67,27.5222,0.15109,46,53,24,27,3.2631,61492760.7,1
H&M,7,2,960.2,39.0722,0.054294,48,46,25,24,3.2574,57539409.47,1
H&M,7,3,1943.85,21.2479,0.028448,49,48,25,25,3.2404,54173417.13,1
H&M,7,4,657.34,24.3333,0.0037767,48,49,25,25,3.2417,62557438.97,1
H&M,7,5,1002.78,29.5739,0.27375,52,48,27,25,3.248,57741423.48,2
H&M,7,6,1554.36,24.6691,0.22212,46,52,24,27,3.2816,58429948.63,2
H&M,7,7,1682.82,33.5952,0.062422,52,46,27,24,3.3503,58527582.51,2
H&M,7,8,1488.93,27.2471,0.0014532,49,52,25,27,3.4036,68292043.94,2
H&M,7,9,1426.32,29.4893,0.0014614,51,49,27,25,3.4321,67214297.82,3
H&M,7,10,2529.79,40.9869,0.028103,55,51,29,27,3.4652,55112365.96,3
H&M,7,11,1612.53,39.234,0.10567,54,55,29,29,3.4883,55204513.98,3
H&M,7,12,1809.1,35.8924,0.22862,59,54,31,29,3.4991,56587827.29,3
H&M,7,13,2760.18,46.931,0.11448,57,59,30,31,3.5253,66181801.73,4
H&M,7,14,1696.51,52.8711,0.075164,56,57,29,30,3.5501,53044599.44,4
H&M,7,15,2540.28,51.5796,0.090911,59,56,31,29,3.5921,55548326.56,4
H&M,7,16,2298.87,52.9852,0.08335,53,59,27,31,3.6202,52812187.85,4
